VID,make,model,year,cityMPG,highwayMPG,cylinders,displ,co2TailpipeGpm,drive,fuelType,transmission,VClass
131,Ford,Mustang,1985,15,22,8,5,522.7647059,Rear-Wheel Drive,Regular,Automatic 4-spd,Subcompact Cars
132,Honda,Accord,1985,21,28,4,1.8,370.2916667,Front-Wheel Drive,Regular,Automatic 4-spd,Subcompact Cars
133,Honda,Accord,1985,23,30,4,1.8,341.8076923,Front-Wheel Drive,Regular,Manual 5-spd,Subcompact Cars
134,Honda,Accord,1985,20,25,4,1.8,403.9545455,Front-Wheel Drive,Regular,Automatic 4-spd,Subcompact Cars
135,Honda,Accord,1985,21,26,4,1.8,386.3913043,Front-Wheel Drive,Regular,Manual 5-spd,Subcompact Cars
136,Honda,Civic,1985,32,38,4,1.3,261.3823529,Front-Wheel Drive,Regular,Manual 4-spd,Subcompact Cars
137,Honda,Civic,1985,23,26,4,1.5,370.2916667,Front-Wheel Drive,Regular,Automatic 3-spd,Subcompact Cars
138,Honda,Civic,1985,26,31,4,1.5,317.3928571,Front-Wheel Drive,Regular,Manual 5-spd,Subcompact Cars
139,Honda,Prelude,1985,21,27,4,1.8,386.3913043,Front-Wheel Drive,Regular,Automatic 4-spd,Subcompact Cars
140,Honda,Prelude,1985,22,29,4,1.8,370.2916667,Front-Wheel Drive,Regular,Manual 5-spd,Subcompact Cars
141,Honda,Prelude,1985,19,24,4,2,423.1904762,Front-Wheel Drive,Regular,Automatic 4-spd,Subcompact Cars
142,Honda,Prelude,1985,21,25,4,2,403.9545455,Front-Wheel Drive,Regular,Manual 5-spd,Subcompact Cars
143,Isuzu,I-Mark,1985,21,23,4,1.8,403.9545455,Rear-Wheel Drive,Regular,Automatic 3-spd,Subcompact Cars
144,Isuzu,I-Mark,1985,21,26,4,1.8,386.3913043,Rear-Wheel Drive,Regular,Manual 5-spd,Subcompact Cars
145,Isuzu,Impulse,1985,19,23,4,2,423.1904762,Rear-Wheel Drive,Regular,Automatic 4-spd,Subcompact Cars
146,Isuzu,Impulse,1985,19,26,4,2,403.9545455,Rear-Wheel Drive,Regular,Manual 5-spd,Subcompact Cars
147,Isuzu,Impulse,1985,18,24,4,2,444.35,Rear-Wheel Drive,Regular,Automatic 4-spd,Subcompact Cars
148,Isuzu,Impulse,1985,18,23,4,2,444.35,Rear-Wheel Drive,Regular,Manual 5-spd,Subcompact Cars
149,Isuzu,750C/I-Mark,1985,28,32,4,1.5,296.2333333,Front-Wheel Drive,Regular,Automatic 3-spd,Subcompact Cars
150,Isuzu,750C/I-Mark,1985,32,39,4,1.5,253.9142857,Front-Wheel Drive,Regular,Manual 5-spd,Subcompact Cars
